181,188,14,422.24,487,1681924430
182,46,4,141.64,138,1651383317
183,19,16,447.68,849,1676864134
184,101,11,1121.12,1170,1689335260
185,24,18,187.62,209,1658778702
186,27,,1048.71,1024,1626733470
187,131,,844.36,700,1695995618
188,128,,644.59,1157,1640722691
189,188,11,691.2,342,1624538775
190,128,,216.2,454,1655268674
191,63,3,352.97,803,1696714439
192,190,11,156.82,386,1696115606
193,101,,990.1,275,1613348892
194,24,26,264.79,261,1595317927
195,163,,744.9,719,1699200206
196,141,,258.36,762,1633603983
197,41,,630.86,497,1588844923
198,125,8,641.33,812,1697414526
199,169,7,350.32,972,1599882479
200,10,29,262.12,150,1608745342
